City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Ushuaia,-54.8,-68.3,46.06,53,0,13.8,AR,1635648624
Arraial do Cabo,-22.9661,-42.0278,70.47,90,100,16.28,BR,1635648635
Kassala,15.451,36.4,80.35,39,0,6.98,SD,1635648635
Båtsfjord,70.6345,29.7185,36.66,84,99,9.91,NO,1635648635
Salalah,17.0151,54.0924,76.84,61,33,3.8,OM,1635648636
Punta Arenas,-53.15,-70.9167,42.91,70,0,4.61,CL,1635648636
Crowley,30.2141,-92.3746,62.56,90,0,3.42,US,1635648487
Mataura,-46.1927,168.8643,44.92,94,100,11.7,NZ,1635648636
Castro,-24.7911,-50.0119,59.43,97,100,10.67,BR,1635648637
Faanui,-16.4833,-151.75,78.94,66,43,14.63,PF,1635648637
Katsuura,35.1333,140.3,65.1,75,98,8.21,JP,1635648637
Esperance,-33.8667,121.9,78.64,40,2,4.56,AU,1635648638
Hobart,-42.8794,147.3294,62.02,54,75,5.99,AU,1635648565
Namtsy,62.7161,129.6658,-3.89,89,83,6.26,RU,1635648638
Chaoyang,41.5703,120.4586,44.02,57,99,12.17,CN,1635648638
Port Alfred,-33.5906,26.891,63.72,81,58,4.59,ZA,1635648403
Busselton,-33.65,115.3333,69.04,61,98,6.49,AU,1635648575
Yellowknife,62.456,-114.3525,27.41,94,40,9.22,CA,1635648639
Maniitsoq,65.4167,-52.9,35.69,94,100,21.81,GL,1635648639
Avarua,-21.2078,-159.775,77.05,61,20,10.36,CK,1635648639
Ostrovnoy,68.0531,39.5131,34.39,96,100,2.06,RU,1635648640
Algodones,20.3888,-105.4773,72.68,88,9,4.07,MX,1635648640
Broome,42.2506,-75.833,53.37,80,20,1.01,US,1635648640
Tasiilaq,65.6145,-37.6368,18.66,66,100,4.09,GL,1635648640
Evensk,61.95,159.2333,13.53,73,100,10.89,RU,1635648641
Khatanga,71.9667,102.5,5.41,96,100,1.97,RU,1635648641
Muros,42.7762,-9.0603,67.23,91,100,19.69,ES,1635648641
Qaanaaq,77.484,-69.3632,1.13,58,0,7.2,GL,1635648642
Dikson,73.5069,80.5464,6.19,90,94,15.08,RU,1635648562
Lorengau,-2.0226,147.2712,83.79,76,80,7.45,PG,1635648642
Codrington,-38.2667,141.9667,61.45,62,0,8.34,AU,1635648642
Lebu,-37.6167,-73.65,51.39,91,100,9.8,CL,1635648642
Beidao,34.5686,105.8933,54.3,59,100,1.63,CN,1635648643
Lahaina,20.8783,-156.6825,85.24,79,1,5.01,US,1635648643
Bredasdorp,-34.5322,20.0403,59.29,94,39,3.44,ZA,1635648644
Corbeni,45.3,24.65,28.11,79,0,2.84,RO,1635648644
Hofn,64.2539,-15.2082,42.96,64,100,14.72,IS,1635648644
Puerto Ayora,-0.7393,-90.3518,70.57,86,100,8.25,EC,1635648645
Yatou,37.15,122.3833,66.52,57,60,6.17,CN,1635648645
Chapais,49.7834,-74.8492,44.38,80,99,6.13,CA,1635648645
Quryq,43.2,51.65,49.21,73,0,7.58,KZ,1635648645
Changji,44.0167,87.3167,47.19,61,0,2.24,CN,1635648646
Lagoa,39.05,-27.9833,68.59,88,100,13.65,PT,1635648646
New Norfolk,-42.7826,147.0587,61.66,49,100,8.01,AU,1635648646
Margate,51.3813,1.3862,55.31,84,100,1.99,GB,1635648557
Bambous Virieux,-20.3428,57.7575,75.22,94,75,3.44,MU,1635648647
São Filipe,14.8961,-24.4956,79.95,72,100,12.12,CV,1635648647
Drăguşeni,45.9667,27.75,41.16,93,0,2.35,RO,1635648647
Batemans Bay,-35.7167,150.1833,73.2,46,1,10.76,AU,1635648648
Mbeya,-8.9,33.45,60.85,77,41,3.91,TZ,1635648648
Bluff,-46.6,168.3333,49.82,67,100,25.72,NZ,1635648648
Zaragoza,41.6561,-0.8773,61.25,91,20,3.0,ES,1635648648
Korla,41.7597,86.1469,50.88,36,3,5.01,CN,1635648649
Bālāpur,20.6667,76.7667,71.13,56,5,2.55,IN,1635648649
Kushima,31.4583,131.2333,71.11,69,53,10.18,JP,1635648649
Geraldton,-28.7667,114.6,75.61,43,0,11.5,AU,1635648650
Jamestown,42.097,-79.2353,51.08,98,90,0.0,US,1635648534
Carauari,-4.8828,-66.8958,72.99,93,82,3.33,BR,1635648650
Thompson,55.7435,-97.8558,33.96,93,90,6.91,CA,1635648381
Praia da Vitória,38.7333,-27.0667,69.76,94,40,9.89,PT,1635648651
Pasān,22.85,82.2,68.32,52,80,3.33,IN,1635648651
Kānkon,15.0167,74.0167,82.2,73,98,5.01,IN,1635648651
Pisco,-13.7,-76.2167,62.65,88,90,10.36,PE,1635648651
Yulara,-25.2406,130.9889,67.84,64,90,5.75,AU,1635648652
Tuktoyaktuk,69.4541,-133.0374,15.8,100,75,9.22,CA,1635648394
Vila Franca do Campo,37.7167,-25.4333,74.19,95,100,13.67,PT,1635648652
Cape Town,-33.9258,18.4232,61.09,88,0,3.44,ZA,1635648414
Jérémie,18.65,-74.1167,79.18,79,12,2.01,HT,1635648653
Faya,18.3851,42.4509,54.12,63,0,6.17,SA,1635648653
Dongsheng,39.8161,109.9776,37.22,46,0,9.22,CN,1635648653
Abay,49.6311,72.8539,34.18,96,100,23.94,KZ,1635648654
Saint Paul Harbor,57.79,-152.4072,47.71,81,90,27.63,US,1635648440
Mahébourg,-20.4081,57.7,75.25,94,75,3.44,MU,1635648654
Cayenne,4.9333,-52.3333,82.09,81,20,3.0,GF,1635648654
Tabou,4.423,-7.3528,75.47,92,92,4.9,CI,1635648654
Maragogi,-9.0122,-35.2225,76.66,72,19,9.17,BR,1635648655
Thinadhoo,0.5333,72.9333,82.92,76,85,19.73,MV,1635648655
Arawa,-6.2132,155.5367,82.98,76,100,3.76,PG,1635648655
Bolgatanga,10.7856,-0.8514,79.68,54,27,3.91,GH,1635648656
Terrace Bay,48.7834,-87.1,37.02,85,96,5.73,CA,1635648656
Chui,-33.6971,-53.4616,63.81,93,7,8.46,UY,1635648656
Longyearbyen,78.2186,15.6401,18.93,84,86,4.27,SJ,1635648657
Shaunavon,49.6501,-108.4181,24.58,54,0,10.63,CA,1635648657
Oktyabr'skiy,54.4815,53.471,44.38,95,100,7.43,RU,1635648657
Pevek,69.7008,170.3133,-1.37,96,100,9.75,RU,1635648658
Dubbo,-32.25,148.6167,71.73,35,0,12.66,AU,1635648658
Barras,-4.2444,-42.2944,76.64,83,6,6.38,BR,1635648658
Kavaratti,10.5669,72.642,81.84,73,99,2.98,IN,1635648658
Tiksi,71.6872,128.8694,13.53,74,100,13.85,RU,1635648659
Airai,-8.9266,125.4092,77.09,54,69,1.86,TL,1635648659
Cassilândia,-19.1133,-51.7342,71.38,87,97,3.42,BR,1635648659
Buraidah,26.326,43.975,68.45,41,1,7.72,SA,1635648660
Coquimbo,-29.9533,-71.3436,55.13,94,90,5.75,CL,1635648660
Hilo,19.7297,-155.09,80.33,78,75,8.05,US,1635648631
Shingū,33.7333,135.9833,70.79,64,100,9.17,JP,1635648660
Aberdeen,57.1437,-2.0981,43.21,87,16,5.75,GB,1635648661
Cherskiy,68.75,161.3,2.19,97,100,6.31,RU,1635648661
Rikitea,-23.1203,-134.9692,74.57,87,100,20.51,PF,1635648426
Yangi Marg`ilon,40.4272,71.7189,44.02,65,100,4.61,UZ,1635648662
Verkhniy Tagil,57.3733,59.9556,29.01,94,83,4.38,RU,1635648662
George Town,5.4112,100.3354,84.13,76,20,5.99,MY,1635648477
Bonavista,48.6499,-53.1147,39.11,57,0,3.94,CA,1635648650
Nikolskoye,59.7035,30.7861,45.01,94,88,6.71,RU,1635648576
Bongor,10.2806,15.3722,81.28,48,79,5.7,TD,1635648663
Upernavik,72.7868,-56.1549,30.24,71,100,5.48,GL,1635648663
Coahuayana Viejo,18.7333,-103.6833,76.8,89,10,1.39,MX,1635648664
Maceió,-9.6658,-35.7353,76.44,88,20,4.61,BR,1635648664
Severo-Kuril'sk,50.6789,156.125,42.62,82,69,17.83,RU,1635648664
Aripuanã,-9.1667,-60.6333,75.15,84,47,1.03,BR,1635648665
Caravelas,-17.7125,-39.2481,72.0,91,100,5.77,BR,1635648665
Vilhena,-12.7406,-60.1458,72.46,77,55,0.43,BR,1635648665
Poum,-20.2333,164.0167,76.35,71,0,3.0,NC,1635648666
Trivandrum,8.4833,76.9167,80.58,83,40,3.44,IN,1635648666
Torbay,47.6666,-52.7314,39.97,77,1,4.61,CA,1635648666
Hermanus,-34.4187,19.2345,59.9,88,78,8.32,ZA,1635648666
Ribeira Grande,38.5167,-28.7,70.32,91,100,15.97,PT,1635648667
Monte Escobedo,22.3,-103.5833,56.19,52,21,3.2,MX,1635648667
Piaseczno,52.0814,21.024,51.89,80,8,8.01,PL,1635648667
Felanitx,39.4696,3.1483,70.32,78,100,19.15,ES,1635648668
Royan,45.6285,-1.0281,58.86,87,33,12.33,FR,1635648668
Beroroha,-21.6667,45.1667,72.25,76,35,1.07,MG,1635648669
Pekan,3.4836,103.3996,86.11,65,85,4.23,MY,1635648669
Vaini,-21.2,-175.2,80.76,78,20,8.05,TO,1635648397
Pital,2.2665,-75.8044,68.5,91,100,1.77,CO,1635648669
Wanning,18.8003,110.3967,78.58,85,70,9.31,CN,1635648670
Atuona,-9.8,-139.0333,77.99,75,18,12.91,PF,1635648670
Zheleznodorozhnyy,55.7503,38.0042,41.41,78,45,8.77,RU,1635648671
Taoudenni,22.6783,-3.9836,80.04,27,50,9.91,ML,1635648647
Labuhan,-6.8844,112.2051,87.91,63,21,7.36,ID,1635648671
Albany,42.6001,-73.9662,55.74,94,100,3.2,US,1635648671
Simao,22.7886,100.9748,63.25,98,100,1.59,CN,1635648672
North Bend,43.4065,-124.2243,55.17,100,90,4.61,US,1635648672
Carnarvon,-24.8667,113.6333,73.47,56,0,18.41,AU,1635648673
Kesova Gora,57.5836,37.2922,42.62,88,56,11.5,RU,1635648673
Padang,-0.9492,100.3543,80.65,80,99,3.11,ID,1635648553
Moranbah,-22.0016,148.0466,95.65,30,26,9.86,AU,1635648673
Baykit,61.67,96.37,18.48,87,100,11.39,RU,1635648674
Custódia,-8.0875,-37.6431,72.03,66,6,10.02,BR,1635648674
Banda Aceh,5.5577,95.3222,78.22,86,100,8.72,ID,1635648674
Clyde River,70.4692,-68.5914,30.15,97,100,16.28,CA,1635648648
Okhotsk,59.3833,143.3,16.86,65,90,23.31,RU,1635648675
Yenagoa,4.9247,6.2642,76.5,95,100,2.77,NG,1635648675
Richards Bay,-28.783,32.0377,61.07,83,9,6.04,ZA,1635648675
Port Elizabeth,-33.918,25.5701,57.49,100,63,2.3,ZA,1635648675
Ciudad Bolivar,8.1222,-63.5497,76.21,90,100,6.33,VE,1635648676
Sørland,67.667,12.6934,48.51,91,97,14.18,NO,1635648676
Olafsvik,64.8945,-23.7142,40.57,76,54,22.66,IS,1635648676
Kumul,42.8,93.45,54.23,36,100,6.4,CN,1635648677
Beringovskiy,63.05,179.3167,9.93,93,100,18.57,RU,1635648677
Half Moon Bay,37.4636,-122.4286,60.8,85,75,4.61,US,1635648677
Vao,-22.6667,167.4833,72.18,70,65,4.36,NC,1635648678
Port Blair,11.6667,92.75,83.43,75,100,7.38,IN,1635648425
Barrow,71.2906,-156.7887,15.82,86,90,8.05,US,1635648678
Sol'-Iletsk,51.1631,54.9918,36.52,94,76,7.18,RU,1635648678
East London,-33.0153,27.9116,61.92,81,16,4.5,ZA,1635648442
Lac du Bonnet,50.2536,-96.0612,36.88,73,23,7.65,CA,1635648679
Naryan-Mar,67.6713,53.087,16.77,88,98,14.29,RU,1635648679
Iqaluit,63.7506,-68.5145,37.13,74,75,8.01,CA,1635648679
Santa Fe,-31.6333,-60.7,82.0,53,12,1.99,AR,1635648680
Butaritari,3.0707,172.7902,82.58,73,7,5.64,KI,1635648680
Port Macquarie,-31.4333,152.9167,68.9,52,75,9.78,AU,1635648681
Rawson,-43.3002,-65.1023,46.71,69,10,15.55,AR,1635648681
San Patricio,28.017,-97.5169,73.24,41,0,7.31,US,1635648681
Kaifeng,34.7911,114.3483,67.06,46,100,8.75,CN,1635648681
Nieuw Amsterdam,5.8833,-55.0833,80.02,88,99,6.55,SR,1635648682
Mar del Plata,-38.0023,-57.5575,57.09,85,75,5.01,AR,1635648551
Inuvik,68.3499,-133.7218,18.61,86,40,5.75,CA,1635648548
Dhidhdhoo,6.8833,73.1,80.51,80,29,7.49,MV,1635648682
Srikakulam,18.3,83.9,81.16,76,10,6.33,IN,1635648682
Saint-Joseph,-21.3667,55.6167,70.47,77,8,3.56,RE,1635648683
Mount Gambier,-37.8333,140.7667,62.51,51,75,11.5,AU,1635648683
Sorong,-0.8833,131.25,83.82,69,86,6.17,ID,1635648683
Zhigansk,66.7697,123.3711,7.9,86,100,27.47,RU,1635648684
Mirny,62.5353,113.9611,32.9,73,100,15.59,RU,1635648684
Alice Springs,-23.7,133.8833,58.55,94,90,9.22,AU,1635648684
Paamiut,61.994,-49.6678,32.2,92,100,8.01,GL,1635648685
Cockburn Town,21.4612,-71.1419,82.71,61,71,10.47,TC,1635648685
Kenai,60.5544,-151.2583,44.15,81,90,12.66,US,1635648685
Qui Nhon,13.7667,109.2333,80.83,80,34,8.37,VN,1635648686
Wadi Maliz,36.4681,8.5495,61.25,54,87,0.04,TN,1635648686
Fairbanks,64.8378,-147.7164,41.34,62,1,8.05,US,1635648572
São João da Barra,-21.6403,-41.0511,70.79,91,100,7.85,BR,1635648548
Chone,-0.6833,-80.1,73.85,78,72,5.21,EC,1635648686
Cabo San Lucas,22.8909,-109.9124,79.52,76,11,5.01,MX,1635648687
Palatka,29.6486,-81.6376,60.96,78,13,3.38,US,1635648687
Tambopata,-12.7333,-69.1833,77.34,70,26,2.44,PE,1635648687
Tiarei,-17.5333,-149.3333,82.42,72,37,18.66,PF,1635648688
Hanmer Springs,-42.5167,172.8167,56.21,58,28,14.2,NZ,1635648688
Eastlake,41.6539,-81.4504,54.73,95,90,1.01,US,1635648688
Isangel,-19.55,169.2667,86.11,58,53,5.75,VU,1635648689
Saint-Philippe,-21.3585,55.7679,71.47,78,21,3.53,RE,1635648689
Tilichiki,60.4667,166.1,5.36,89,11,10.22,RU,1635648689
Teguise,29.0605,-13.564,62.82,88,0,8.05,ES,1635648690
Kapaa,22.0752,-159.319,79.2,77,90,5.75,US,1635648690
Linares,-35.85,-71.6,60.51,56,100,1.68,CL,1635648690
Bandarbeyla,9.4942,50.8122,78.69,79,97,9.82,SO,1635648690
Kachug,53.9606,105.8817,34.3,60,72,3.69,RU,1635648691
Talcahuano,-36.7167,-73.1167,56.88,77,0,8.05,CL,1635648616
Brae,60.3964,-1.353,49.91,82,100,28.32,GB,1635648691
Andenes,69.3143,16.1194,42.78,93,100,13.8,NO,1635648692
Kulhudhuffushi,6.6221,73.07,80.22,81,17,9.04,MV,1635648692
Chirongui,-12.9319,45.1483,76.93,72,1,8.93,YT,1635648692
Esim,4.8699,-2.2405,78.21,88,90,8.05,GH,1635648693
City of San Pedro,14.35,121.0167,89.31,52,20,10.36,PH,1635648693
Jalu,29.0331,21.5482,67.35,44,38,7.9,LY,1635648693
Pacific Grove,36.6177,-121.9166,60.46,91,90,3.0,US,1635648660
Kirakira,-10.4544,161.9205,86.68,64,23,13.49,SB,1635648694
Adrar,20.5022,-10.0711,78.87,39,100,7.16,MR,1635648694
High Level,58.5169,-117.136,30.31,64,1,3.44,CA,1635648694
Artyom,40.4723,50.333,57.34,72,100,9.35,AZ,1635648694
Heze,35.2431,115.4411,67.44,51,100,5.68,CN,1635648695
Asifābād,19.3667,79.2833,73.53,57,2,5.66,IN,1635648695
Dwārka,22.2394,68.9678,80.11,46,22,4.63,IN,1635648695
Ahipara,-35.1667,173.1667,62.11,71,98,6.22,NZ,1635648696
Along,28.1667,94.7667,72.73,51,8,1.07,IN,1635648696
Bengkulu,-3.8004,102.2655,82.89,75,100,5.14,ID,1635648557
Fare,-16.7,-151.0167,78.26,71,4,16.08,PF,1635648696
Laï,9.3952,16.2989,77.23,59,100,1.59,TD,1635648697
Monrovia,6.3005,-10.7969,76.73,88,100,7.23,LR,1635648643
Baião,-2.7906,-49.6717,75.99,89,61,2.28,BR,1635648697
Amrāvati,20.9333,77.75,71.13,52,10,4.97,IN,1635648502
Morón,-34.6534,-58.6198,74.95,78,4,9.19,AR,1635648697
Ponta do Sol,32.6667,-17.1,70.72,73,69,6.35,PT,1635648698
Naze,28.3667,129.4833,74.32,63,1,7.61,JP,1635648698
San Juan,-31.5375,-68.5364,72.82,48,100,21.56,AR,1635648467
Cody,44.5263,-109.0565,34.25,82,100,3.0,US,1635648698
Paredon,16.0333,-93.8667,78.12,67,32,9.08,MX,1635648699
Ilulissat,69.2167,-51.1,33.78,85,100,11.18,GL,1635648699
Hong Kong,22.2855,114.1577,77.38,78,91,1.99,HK,1635648470
Arman',59.7,150.1667,20.66,43,100,15.05,RU,1635648699
Iberia,29.9502,-91.7507,57.27,94,1,0.0,US,1635648691
Port Lincoln,-34.7333,135.8667,65.66,51,0,8.68,AU,1635648700
Chokurdakh,70.6333,147.9167,-0.47,98,99,6.67,RU,1635648408
Izhma,65.0083,53.9113,22.01,95,100,6.42,RU,1635648700
Saldanha,-33.0117,17.9442,57.25,87,91,7.29,ZA,1635648700
Burnie,-41.0667,145.9167,61.95,54,95,14.56,AU,1635648701
Nur-Sultan,51.1801,71.446,37.35,93,90,17.9,KZ,1635648654
Sittwe,20.15,92.9,81.48,74,3,2.93,MM,1635648701
Norman Wells,65.282,-126.8329,21.24,93,20,6.91,CA,1635648701
Sobolevo,54.4299,31.8996,39.72,91,8,10.25,RU,1635648702
Hithadhoo,-0.6,73.0833,82.6,77,100,20.13,MV,1635648702
Machalí,-34.1833,-70.6667,65.91,42,100,0.51,CL,1635648702
Kahului,20.8947,-156.47,85.26,71,20,10.36,US,1635648702
Narsaq,60.9167,-46.05,25.36,74,34,4.9,GL,1635648703
Erzin,36.9559,36.2,61.32,71,44,6.53,TR,1635648703
Nome,64.5011,-165.4064,17.67,63,1,5.75,US,1635648647
Cairns,-16.9167,145.7667,98.94,60,28,10.36,AU,1635648704
Kautokeino,69.0125,23.0412,23.58,93,96,5.32,NO,1635648704
Hannibal,39.7084,-91.3585,50.95,93,1,0.0,US,1635648704
Horsham,51.064,-0.3272,56.5,90,20,3.44,GB,1635648704
Rocha,-34.4833,-54.3333,64.47,91,70,8.95,UY,1635648705
Hargeisa,9.56,44.065,63.0,89,22,7.29,SO,1635648705
Sitka,57.0531,-135.33,46.29,66,40,5.75,US,1635648705
Kaitangata,-46.2817,169.8464,47.79,93,100,18.72,NZ,1635648706
Nanortalik,60.1432,-45.2371,34.36,74,3,3.09,GL,1635648706
Kysyl-Syr,63.8986,122.7617,17.82,93,100,11.95,RU,1635648706
Venado Tuerto,-33.7456,-61.9688,69.78,43,0,9.57,AR,1635648706
Antofagasta,-23.65,-70.4,60.08,76,25,1.77,CL,1635648598
Havelock,34.8791,-76.9013,58.93,84,3,7.16,US,1635648707
Eilat,29.5581,34.9482,75.04,64,0,6.91,IL,1635648707
Vanderhoof,54.0166,-124.0198,28.11,68,24,1.97,CA,1635648707
Lyuban',52.7985,28.0048,41.45,81,15,10.49,BY,1635648708
Pangnirtung,66.1451,-65.7125,30.58,98,100,8.77,CA,1635648708
Rome,43.2128,-75.4557,55.54,92,90,4.61,US,1635648708
Bakchar,57.0186,82.0711,27.5,52,100,6.58,RU,1635648709
Barabash,43.2,131.4833,53.28,41,19,6.82,RU,1635648709
Voskresenskoye,56.8381,45.4317,44.98,94,94,8.81,RU,1635648710
Paoua,7.2427,16.4406,71.46,76,100,2.13,CF,1635648710
Igrim,63.1906,64.4162,16.65,73,95,3.15,RU,1635648710
Savannah Bight,16.45,-85.85,78.01,59,55,7.4,HN,1635648711
Dawei,14.0833,98.2,85.41,71,86,0.92,MM,1635648711
Tomatlán,19.9333,-105.25,74.44,93,7,2.28,MX,1635648711
Disna,55.568,28.1971,42.84,83,12,9.84,BY,1635648711
Arlit,18.7369,7.3853,79.3,22,0,6.87,NE,1635648712
Pomabamba,-8.8333,-77.4667,52.86,79,67,3.56,PE,1635648712
Kavieng,-2.5744,150.7967,82.83,76,84,12.75,PG,1635648712
Tallinn,59.437,24.7535,41.11,89,20,5.75,EE,1635648713
Ancud,-41.8697,-73.8203,49.53,67,0,4.79,CL,1635648713
Guerrero Negro,27.9769,-114.0611,66.02,85,0,11.56,MX,1635648504
Verkhnyaya Inta,65.9811,60.3094,8.83,91,94,7.14,RU,1635648713
Bathsheba,13.2167,-59.5167,81.21,74,20,18.41,BB,1635648714
Central Point,42.376,-122.9164,57.33,90,75,0.0,US,1635648714
Torquay,50.4638,-3.5143,57.58,41,100,15.01,GB,1635648714
Rāzole,16.4833,81.8333,80.89,83,100,5.86,IN,1635648715
Mafra,-26.1114,-49.8053,62.96,97,100,3.83,BR,1635648715
Trelew,-43.249,-65.3051,45.43,69,2,12.66,AR,1635648555
Vrangel',42.7297,133.0839,57.06,69,8,1.57,RU,1635648715
Leshukonskoye,64.8989,45.7622,35.08,99,100,5.84,RU,1635648716
Hasaki,35.7333,140.8333,62.89,71,85,11.65,JP,1635648716
